MrkID Chr Pos
D1M1 1 0
D1M2 1 10
D1M3 1 20
D1M4 1 30
D1M5 1 40
D1M6 1 50
D1M7 1 60
D1M8 1 70
D1M9 1 80
D1M10 1 90
D1M11 1 100
D2M1 2 0
D2M2 2 10
D2M3 2 20
D2M4 2 30
D2M5 2 40
D2M6 2 50
D2M7 2 60
D2M8 2 70
D2M9 2 80
D2M10 2 90
D2M11 2 100
D3M1 3 0
D3M2 3 10
D3M3 3 20
D3M4 3 30
D3M5 3 40
D3M6 3 50
D3M7 3 60
D3M8 3 70
D3M9 3 80
D3M10 3 90
D3M11 3 100
D4M1 4 0
D4M2 4 10
D4M3 4 20
D4M4 4 30
D4M5 4 40
D4M6 4 50
D4M7 4 60
D4M8 4 70
D4M9 4 80
D4M10 4 90
D4M11 4 100
D5M1 5 0
D5M2 5 10
D5M3 5 20
D5M4 5 30
D5M5 5 40
D5M6 5 50
D5M7 5 60
D5M8 5 70
D5M9 5 80
D5M10 5 90
D5M11 5 100
D6M1 6 0
D6M2 6 10
D6M3 6 20
D6M4 6 30
D6M5 6 40
D6M6 6 50
D6M7 6 60
D6M8 6 70
D6M9 6 80
D6M10 6 90
D6M11 6 100
D7M1 7 0
D7M2 7 10
D7M3 7 20
D7M4 7 30
D7M5 7 40
D7M6 7 50
D7M7 7 60
D7M8 7 70
D7M9 7 80
D7M10 7 90
D7M11 7 100
D8M1 8 0
D8M2 8 10
D8M3 8 20
D8M4 8 30
D8M5 8 40
D8M6 8 50
D8M7 8 60
D8M8 8 70
D8M9 8 80
D8M10 8 90
D8M11 8 100
D9M1 9 0
D9M2 9 10
D9M3 9 20
D9M4 9 30
D9M5 9 40
D9M6 9 50
D9M7 9 60
D9M8 9 70
D9M9 9 80
D9M10 9 90
D9M11 9 100
